stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
5.0,1.0,1.5,4.5,0.4,7200,0.2,41,92.7,22.35,0.2,2.49,0.545,6.9
5.0,1.0,1.5,4.5,0.4,7200,0.4,41,92.7,22.35,0.2,2.49,0.545,6.9
5.0,1.0,1.5,4.5,0.4,14400,0.2,41,92.7,22.35,0.2,2.49,0.545,6.9
5.0,1.0,1.5,4.5,0.4,14400,0.4,41,92.7,22.35,0.2,2.49,0.545,6.9
5.0,1.0,1.5,4.5,0.4,,0.4,41,92.7,22.35,0.2,2.49,0.545,6.9
5.0,1.0,1.5,4.5,0.6,2400,0.2,41,92.7,22.35,0.2,2.49,0.545,6.9
5.0,1.0,1.5,4.5,0.6,3600,0.2,41,92.7,22.35,0.2,2.49,0.545,6.9
5.0,1.0,1.5,4.5,0.6,3600,0.4,41,92.7,22.35,0.2,2.49,0.545,6.9
5.0,1.0,1.5,4.5,0.6,7200,0.2,41,92.7,22.35,0.2,2.49,0.545,6.9
5.0,1.0,1.5,4.5,0.6,7200,0.4,41,92.7,22.35,0.2,2.49,0.545,6.9
5.0,1.0,1.5,4.5,0.6,14400,0.2,41,92.7,22.35,0.2,2.49,0.545,6.9
5.0,1.0,1.5,4.5,0.6,14400,0.4,41,92.7,22.35,0.2,2.49,0.545,6.9
5.0,1.0,1.5,4.5,0.6,,0.4,41,92.7,22.35,0.2,2.49,0.545,6.9
5.0,1.0,1.5,4.5,0.8,2400,0.2,41,92.7,22.35,0.2,2.49,0.545,6.9
5.0,1.0,1.5,4.5,0.8,3600,0.2,41,92.7,22.35,0.2,2.49,0.545,6.9
5.0,1.0,1.5,4.5,0.8,3600,0.4,41,92.7,22.35,0.2,2.49,0.545,6.9
5.0,1.0,1.5,4.5,0.8,7200,0.2,41,92.7,22.35,0.2,2.49,0.545,6.9
5.0,1.0,1.5,4.5,0.8,7200,0.4,41,92.7,22.35,0.2,2.49,0.545,6.9
5.0,1.0,1.5,4.5,0.8,14400,0.2,41,92.7,22.35,0.2,2.49,0.545,6.9
5.0,1.0,1.5,4.5,0.8,14400,0.4,41,92.7,22.35,0.2,2.49,0.545,6.9
5.0,1.0,1.5,4.5,0.8,,0.4,41,92.7,22.35,0.2,2.49,0.545,6.9
5.0,1.0,1.5,3.0,0.4,2400,0.4,42,92.9,22.64,0.19,2.51,0.539,6.9
5.0,1.0,1.5,3.0,0.6,2400,0.4,42,92.9,22.64,0.19,2.51,0.539,6.9
5.0,1.0,1.5,3.0,0.8,2400,0.4,42,92.9,22.64,0.19,2.51,0.539,6.9
5.0,1.0,1.5,4.5,0.4,2400,0.4,42,92.9,22.64,0.19,2.51,0.539,6.9
5.0,1.0,1.5,4.5,0.6,2400,0.4,42,92.9,22.64,0.19,2.51,0.539,6.9
5.0,1.0,1.5,4.5,0.8,2400,0.4,42,92.9,22.64,0.19,2.51,0.539,6.9
5.0,1.5,2.5,3.0,0.8,1200,0.2,41,90.2,21.84,0.26,2.44,0.533,7.94
5.0,1.5,2.5,4.5,0.8,1200,0.2,41,90.2,21.84,0.26,2.44,0.533,7.94
5.0,1.5,2.5,3.0,0.6,2400,0.4,42,92.9,22.31,0.19,2.49,0.531,7.14
5.0,1.5,2.5,4.5,0.6,2400,0.4,42,92.9,22.31,0.19,2.49,0.531,7.14
5.0,1.0,1.5,3.0,0.4,1200,0.2,42,90.5,22.18,0.26,2.46,0.528,6.9
5.0,1.0,1.5,3.0,0.6,1200,0.2,42,90.5,22.18,0.26,2.46,0.528,6.9
