stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
4.0,0.7,1.5,4.5,0.8,14400,0.4,55,90.9,19.78,0.2,1.99,0.36,6.74
4.0,0.7,1.5,4.5,0.8,,0.4,55,90.9,19.78,0.2,1.99,0.36,6.74
4.0,0.7,2.5,4.5,0.4,14400,0.8,58,86.2,20.88,0.32,2.01,0.36,6.74
4.0,0.7,2.5,4.5,0.6,14400,0.8,58,86.2,20.88,0.32,2.01,0.36,6.74
4.0,0.7,2.5,4.5,0.8,14400,0.8,58,86.2,20.88,0.32,2.01,0.36,6.74
4.0,0.7,2.5,3.0,0.4,1200,0.2,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.4,2400,0.2,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.4,3600,0.2,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.4,3600,0.4,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.4,7200,0.2,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.4,7200,0.4,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.4,14400,0.2,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.4,14400,0.4,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.4,,0.4,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.6,1200,0.2,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.6,2400,0.2,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.6,3600,0.2,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.6,3600,0.4,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.6,7200,0.2,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.6,7200,0.4,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.6,14400,0.2,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.6,14400,0.4,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.6,,0.4,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.8,1200,0.2,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.8,2400,0.2,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.8,3600,0.2,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.8,3600,0.4,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.8,7200,0.2,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.8,7200,0.4,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.8,14400,0.2,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.8,14400,0.4,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,2.5,3.0,0.8,,0.4,55,90.9,19.33,0.2,1.97,0.351,6.74
4.0,0.7,1.5,4.5,0.4,2400,0.4,56,89.3,19.07,0.23,1.95,0.341,6.74
4.0,0.7,1.5,4.5,0.6,2400,0.4,56,89.3,19.07,0.23,1.95,0.341,6.74
4.0,0.7,1.5,4.5,0.8,2400,0.4,56,89.3,19.07,0.23,1.95,0.341,6.74
4.0,0.7,1.5,3.0,0.4,1200,0.2,55,90.9,18.43,0.19,1.92,0.335,6.74
4.0,0.7,1.5,3.0,0.4,2400,0.2,55,90.9,18.43,0.19,1.92,0.335,6.74
4.0,0.7,1.5,3.0,0.4,3600,0.2,55,90.9,18.43,0.19,1.92,0.335,6.74
4.0,0.7,1.5,3.0,0.4,3600,0.4,55,90.9,18.43,0.19,1.92,0.335,6.74
4.0,0.7,1.5,3.0,0.4,7200,0.2,55,90.9,18.43,0.19,1.92,0.335,6.74
4.0,0.7,1.5,3.0,0.4,7200,0.4,55,90.9,18.43,0.19,1.92,0.335,6.74
4.0,0.7,1.5,3.0,0.4,14400,0.2,55,90.9,18.43,0.19,1.92,0.335,6.74
4.0,0.7,1.5,3.0,0.4,14400,0.4,55,90.9,18.43,0.19,1.92,0.335,6.74
4.0,0.7,1.5,3.0,0.4,,0.4,55,90.9,18.43,0.19,1.92,0.335,6.74
4.0,0.7,1.5,3.0,0.6,1200,0.2,55,90.9,18.43,0.19,1.92,0.335,6.74
4.0,0.7,1.5,3.0,0.6,2400,0.2,55,90.9,18.43,0.19,1.92,0.335,6.74
4.0,0.7,1.5,3.0,0.6,3600,0.2,55,90.9,18.43,0.19,1.92,0.335,6.74
4.0,0.7,1.5,3.0,0.6,3600,0.4,55,90.9,18.43,0.19,1.92,0.335,6.74
4.0,0.7,1.5,3.0,0.6,7200,0.2,55,90.9,18.43,0.19,1.92,0.335,6.74
4.0,0.7,1.5,3.0,0.6,7200,0.4,55,90.9,18.43,0.19,1.92,0.335,6.74
4.0,0.7,1.5,3.0,0.6,14400,0.2,55,90.9,18.43,0.19,1.92,0.335,6.74
4.0,0.7,1.5,3.0,0.6,14400,0.4,55,90.9,18.43,0.19,1.92,0.335,6.74
4.0,0.7,1.5,3.0,0.6,,0.4,55,90.9,18.43,0.19,1.92,0.335,6.74
4.0,0.7,1.5,3.0,0.8,1200,0.2,55,90.9,18.43,0.19,1.92,0.335,6.74
