stop_loss_pct,level_1_pct,level_2_pct,level_3_pct,trail_callback,time_stop_seconds,time_stop_no_movement_pct,trades,win_rate,total_pnl_pct,payoff,profit_factor,expectancy_pct,max_dd_pct
5.0,0.7,1.5,3.0,0.8,7200,0.2,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,3.0,0.8,14400,0.2,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,3.0,0.8,14400,0.4,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,3.0,0.8,,0.4,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,4.5,0.4,1200,0.2,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,4.5,0.4,2400,0.2,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,4.5,0.4,3600,0.2,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,4.5,0.4,7200,0.2,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,4.5,0.4,14400,0.2,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,4.5,0.4,14400,0.4,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,4.5,0.4,,0.4,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,4.5,0.6,1200,0.2,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,4.5,0.6,2400,0.2,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,4.5,0.6,3600,0.2,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,4.5,0.6,7200,0.2,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,4.5,0.6,14400,0.2,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,4.5,0.6,14400,0.4,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,4.5,0.6,,0.4,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,4.5,0.8,1200,0.2,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,4.5,0.8,2400,0.2,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,4.5,0.8,3600,0.2,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,4.5,0.8,7200,0.2,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,4.5,0.8,14400,0.2,15,86.7,-1.81,0.13,0.82,-0.121,10.0
5.0,0.7,1.5,4.5,0.8,14400,0.4,15,86.7,-1.81,0.13,0.82,-0.121,10.0
